cidr,countrycode
1.0.0.0/24,US
1.0.4.0/22,AU
1.0.16.0/24,JP
1.0.64.0/18,JP
1.0.128.0/17,TH
1.1.1.0/24,US
1.1.8.0/24,CN
1.1.64.0/19,JP
1.1.128.0/17,TH
1.2.128.0/17,TH
1.4.128.0/17,TH
1.5.0.0/16,JP
1.6.0.0/16,IN
1.7.128.0/18,IN
1.7.203.0/24,IN
1.7.225.0/24,US
1.7.226.0/23,IN
1.7.230.0/23,IN
1.8.1.0/24,CN
1.8.8.0/24,CN
1.9.0.0/16,MY
1.10.128.0/17,TH
1.11.0.0/20,KR
1.11.24.0/21,KR
1.11.40.0/21,KR
1.11.56.0/21,KR
1.12.0.0/14,CN
1.16.0.0/18,KR
1.18.116.0/24,KR
1.18.119.0/24,KR
1.18.123.0/24,KR
1.18.125.0/24,KR
1.18.132.0/23,KR
1.20.0.0/16,TH
1.21.0.0/18,JP
1.21.112.0/20,JP
1.21.144.0/20,JP
1.22.3.0/24,IN
1.22.8.0/23,IN
1.22.12.0/22,IN
1.22.24.0/21,IN
1.22.52.0/22,IN
1.22.64.0/22,IN
1.22.69.0/24,IN
1.22.72.0/22,IN
1.22.77.0/24,IN
1.22.88.0/21,IN
1.22.112.0/20,IN
1.22.145.0/24,IN
1.22.163.0/24,IN
1.22.192.0/21,IN
1.22.206.0/23,IN
1.22.212.0/22,IN
1.22.228.0/22,IN
1.22.240.0/20,IN
1.23.10.0/23,IN
1.23.16.0/24,IN
1.23.18.0/23,IN
1.23.25.0/24,IN
1.23.29.0/24,IN
1.23.61.0/24,IN
1.23.68.0/23,IN
1.23.73.0/24,IN
1.23.90.0/23,IN
1.23.93.0/24,IN
1.23.97.0/24,IN
1.23.114.0/23,IN
1.23.121.0/24,IN
1.23.132.0/24,IN
1.23.136.0/21,IN
1.23.160.0/21,IN
1.23.174.0/23,IN
1.23.180.0/22,IN
1.23.185.0/24,IN
1.23.194.0/23,IN
1.23.204.0/24,IN
1.23.206.0/24,IN
1.23.208.0/21,IN
1.23.220.0/24,IN
1.23.224.0/20,IN
1.24.0.0/14,CN
1.28.42.0/23,CN
1.32.0.0/17,MY
1.32.192.0/20,SG
1.32.220.0/24,SG
1.32.223.0/24,SG
1.32.233.0/24,SG
1.33.0.0/16,JP
1.34.0.0/15,TW
1.36.0.0/16,HK
1.37.0.0/16,PH
1.38.0.0/17,IN
1.38.136.0/21,IN
1.38.160.0/21,IN
1.38.176.0/20,IN
1.38.208.0/24,IN
1.38.211.0/24,HK
1.38.213.0/24,IN
1.38.216.0/21,IN
1.38.240.0/21,IN
1.39.4.0/22,IN
1.39.75.0/24,IN
1.39.128.0/17,IN
1.40.0.0/14,AU
1.45.0.0/16,CN
1.46.0.0/15,TH
1.48.0.0/14,CN
1.52.0.0/14,VN
1.56.0.0/13,CN
1.64.0.0/15,HK
1.68.0.0/14,CN
1.80.0.0/13,CN
1.91.91.0/32,RU
1.93.0.0/16,CN
1.96.0.0/12,KR
1.112.0.0/14,JP
1.116.0.0/15,CN
1.118.32.0/24,CN
1.119.0.0/17,CN
1.120.0.0/13,AU
1.160.0.0/12,TW
1.176.0.0/15,KR
1.178.0.0/19,AU
1.178.32.0/19,HK
1.178.64.0/19,AU
1.178.112.0/20,PS
1.178.144.0/20,AU
1.178.224.0/19,ES
1.179.0.0/19,AU
1.179.40.0/21,PS
1.179.48.0/20,AU
1.179.72.0/21,PS
1.179.80.0/21,AU
1.179.88.0/21,PS
1.179.96.0/20,AU
1.179.112.0/20,US
1.179.128.0/17,TH
1.180.0.0/14,CN
1.186.35.0/24,IN
1.186.63.0/24,IN
1.186.93.0/24,IN
1.186.160.0/24,IN
1.186.190.0/23,IN
